D-OL-Stave-019 D-OL-HS-U-019 D-OL-HS-L-019 98 98 15/5/2019 20
D-OL-Stave-018 D-OL-HS-U-018 D-OL-HS-L-018 98 98 30/4/2019 18
D-OL-Stave-017 D-OL-HS-U-017 D-OL-HS-L-017 98 98 24/4/2019 17
D-OL-Stave-016 D-OL-HS-U-016 D-OL-HS-L-016 98 98 10/4/2019 15
D-OL-Stave-015 D-OL-HS-U-015 D-OL-HS-L-015 98 98 2/4/2019 14
D-OL-Stave-014 D-OL-HS-U-014 D-OL-HS-L-114 98 98 3/4/2019 14
D-OL-Stave-013 D-OL-HS-U-013 D-OL-HS-L-013 98 97 7/3/2019 10
D-OL-Stave-012 D-OL-HS-U-012 D-OL-HS-L-012 98 97 5/3/2019 10
D-OL-Stave-011 D-OL-HS-U-011 D-OL-HS-L-011 98 97 20/2/2019 8
D-OL-Stave-010 D-OL-HS-U-010 D-OL-HS-L-110 98 97 28/1/2019 5
D-OL-Stave-009 D-OL-HS-U-009 D-OL-HS-L-009 98 98 14/1/2019 3
D-OL-Stave-007 D-OL-HS-U-007 D-OL-HS-L-007 98 98 1/2/2019 5
D-OL-Stave-006 D-OL-HS-U-006 D-OL-HS-L-006 98 98 4/12/2018 49
D-OL-Stave-005 D-OL-HS-U-005 D-OL-HS-L-005 98 98 23/11/2018 47
D-OL-Stave-004 D-OL-HS-U-004 D-OL-HS-L-004 98 98 16/10/2018 42
D-OL-Stave-003 D-OL-HS-U-003 D-OL-HS-L-003 97 97 13/2/2019 7
D-OL-Stave-002 D-OL-HS-U-002 D-OL-HS-L-002 97 98 25/10/2018 43
D-OL-Stave-001 D-OL-HS-U-001 D-OL-HS-L-001 98 83 14/8/2018 33
A-OL-Stave-018 A-OL-HS-U-018 A-OL-HS-L-019 98 98 6/5/2019 19
A-OL-Stave-017 A-OL-HS-U-109 A-OL-HS-L-012 96 98 2/5/2019 18
A-OL-Stave-016 A-OL-HS-U-017 A-OL-HS-L-018 98 98 15/4/2019 16
A-OL-Stave-015 A-OL-HS-U-016 A-OL-HS-L-011 98 96 4/4/2019 14
A-OL-Stave-014 A-OL-HS-U-115 A-OL-HS-L-016 98 98 21/3/2019 12
A-OL-Stave-013 A-OL-HS-U-114 A-OL-HS-L-017 98 96 27/3/2019 13
A-OL-Stave-012 A-OL-HS-U-012 A-OL-HS-L-015 98 98 7/3/2019 10
A-OL-Stave-010 A-OL-HS-U-011 A-OL-HS-L-113 98 97 21/3/2019 12
A-OL-Stave-009 A-OL-HS-U-010 A-OL-HS-L-010 97 98 7/2/2019 6
A-OL-Stave-008 A-OL-HS-U-008 A-OL-HS-L-009 98 97 24/1/2019 4
A-OL-Stave-006 A-OL-HS-U-005 A-OL-HS-L-006 98 98 25/1/2019 4
A-OL-Stave-005 A-OL-HS-U-006 A-OL-HS-L-007 98 98 31/10/2018 44
A-OL-Stave-004 A-OL-HS-U-004 A-OL-HS-L-005 98 98 22/3/2019 12
B-ML-Stave-042 B-ML-HS-U-042 B-ML-HS-L-042 56 56 22/5/2019 21
B-ML-Stave-041 B-ML-HS-U-041 B-ML-HS-L-041 56 56 15/5/2019 20
